名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,都道府県,携帯,キャリア,カレーの食べ方
川西 明宏,かわにし あきひろ,kawanishi_akihiro@example.com,男,45,1972/1/16,既婚,福島県,090-3639-3901,ドコモ,ぶっかけ・ルー攻め派
中村 哲平,なかむら てっぺい,nakamura_teppei@example.com,男,78,1939/1/20,既婚,京都府,080-4649-6376,au,右ルー・ルー攻め派
柳家 米蔵,やなぎや よねぞう,yanagiya_yonezou@example.com,男,55,1962/1/23,既婚,東京都,080- 765-3696,ドコモ,ぶっかけ・せき止め派
大内 綾女,おおうち あやめ,oouchi_ayame@example.com,女,70,1947/7/25,既婚,大分県,090-5078-5628,au,ぶっかけ・ルー攻め派
国分 貴美子,こくぶん きみこ,kokubunn_kimiko@example.com,女,70,1947/5/5,既婚,山形県,090-2289-4121,ドコモ,右ルー・せき止め派
吉野 美和子,よしの みわこ,yoshino_miwako@example.com,女,56,1961/3/26,既婚,北海道,090-3265-4086,au,左ルー・ルー攻め派
目黒 美菜,めぐろ みな,meguro_mina@example.com,女,44,1973/9/12,既婚,福岡県,090-5244-1702,ソフトバンク,ぶっかけ・せき止め派
関 知史,せき ともふみ,seki_tomofumi@example.com,男,25,1992/3/9,既婚,兵庫県,080-2592-7408,ドコモ,右ルー・混ぜ混ぜ派
水谷 正義,みずたに まさよし,mizutani_masayoshi@example.com,男,29,1988/4/6,未婚,岩手県,080- 618-2320,ドコモ,右ルー・せき止め派
薬師丸 涼,やくしまる りょう,yakushimaru_ryou@example.com,女,36,1981/4/13,既婚,愛知県,080-3849-8842,au,ぶっかけ・せき止め派
狩野 英嗣,かの ひでつぐ,kano_hidetsugu@example.com,男,34,1983/9/26,未婚,新潟県,090-4424- 635,ドコモ,右ルー・ルー攻め派
河村 勝久,かわむら かつひさ,kawamura_katsuhisa@example.com,男,77,1940/9/28,既婚,東京都,090- 636-6816,ドコモ,ぶっかけ・混ぜ混ぜ派
杉原 優,すぎはら ゆう,sugihara_yuu@example.com,女,48,1968/11/19,既婚,広島県,080-5194-5374,ドコモ,左ルー・せき止め派
小関 慎之介,こぜき しんのすけ,kozeki_shinnosuke@example.com,男,51,1965/11/22,既婚,岩手県,080-8411- 967,au,ぶっかけ・ルー攻め派
中山 妃里,なかやま ゆり,nakayama_yuri@example.com,女,21,1996/5/16,未婚,千葉県,090-6872-5819,ドコモ,左ルー・せき止め派
坂東 大,ばんとう まさる,banntou_masaru@example.com,男,24,1992/12/20,未婚,神奈川県,080-5186-7903,au,手前ルー・ナン派
外山 未來,そとやま みらい,sotoyama_mirai@example.com,男,73,1943/11/11,既婚,長野県,090-9058-2781,ドコモ,別盛り・せき止め派
星野 美佐子,ほしの みさこ,hoshino_misako@example.com,女,31,1986/9/12,既婚,静岡県,090-1736-9795,au,左ルー・せき止め派
奥田 茂樹,おくだ しげき,okuda_shigeki@example.com,男,47,1969/12/14,既婚,福岡県,080-1004- 874,ドコモ,左ルー・せき止め派
日高 さやか,ひだか さやか,hidaka_sayaka@example.com,女,59,1958/4/14,既婚,栃木県,080-5959-5537,ドコモ,左ルー・ルー攻め派
小峰 一哉,こみね かずや,komine_kazuya@example.com,男,55,1961/11/22,既婚,熊本県,090-7918-5389,ソフトバンク,左ルー・ルー攻め派
長谷川 獅童,はせがわ しどう,hasegawa_shidou@example.com,男,37,1980/8/23,既婚,愛知県,080-1018-3529,ドコモ,ぶっかけ・せき止め派
大和田 薫,おおわだ かおる,oowada_kaoru@example.com,女,20,1996/11/22,未婚,福岡県,090- 344-8055,ドコモ,左ルー・ルー攻め派
小野田 雄太,おのだ ゆうた,onoda_yuuta@example.com,男,29,1988/5/13,既婚,北海道,090-4040- 565,ドコモ,ぶっかけ・ナン派
長谷川 智花,はせがわ ともか,hasegawa_tomoka@example.com,女,36,1981/8/29,既婚,福岡県,080- 667-9645,ソフトバンク,左ルー・せき止め派
石田 杏,いしだ あん,ishida_ann@example.com,女,77,1940/2/2,既婚,岩手県,090- 102-4031,ドコモ,ぶっかけ・別口派
小峰 ケンイチ,こみね けんいち,komine_kenichi@example.com,男,43,1974/2/21,未婚,沖縄県,090-7076-1336,ソフトバンク,奥ルー・混ぜ混ぜ派
三井 由宇,みつい ゆう,mitsui_yuu@example.com,女,79,1938/3/25,既婚,愛知県,080-1029-6488,ドコモ,ぶっかけ・せき止め派
下村 めぐみ,しもむら めぐみ,shimomura_megumi@example.com,女,74,1943/2/9,既婚,三重県,090- 349-9959,ドコモ,左ルー・混ぜ混ぜ派
鈴木 一樹,すずき かずき,suzuki_kazuki@example.com,男,80,1937/5/13,既婚,三重県,090-6020-7393,ソフトバンク,手前ルー・せき止め派
有田 菜々美,ありた ななみ,arita_nanami@example.com,女,54,1963/8/24,既婚,千葉県,090-4216-8449,ドコモ,ぶっかけ・ルー攻め派
村岡 三郎,むらおか さぶろう,muraoka_saburou@example.com,男,24,1992/11/13,既婚,宮城県,080-9507-6499,ドコモ,ぶっかけ・ルー攻め派
本山 恵子,ほんやま けいこ,honnyama_keiko@example.com,女,48,1968/12/12,既婚,大阪府,090-6295-1754,ドコモ,手前ルー・別口派
玉田 博之,たまだ ひろゆき,tamada_hiroyuki@example.com,男,60,1957/2/3,既婚,東京都,090-4082-5447,ドコモ,ぶっかけ・せき止め派
亀山 亜希,かめやま あき,kameyama_aki@example.com,女,70,1946/12/27,既婚,東京都,090-4869-9795,ドコモ,ぶっかけ・せき止め派
松下 和香,まつした わか,matsushita_waka@example.com,女,61,1956/10/10,既婚,愛知県,080-3031-6912,ドコモ,ぶっかけ・ルー攻め派
石倉 恵梨香,いしくら えりか,ishikura_erika@example.com,女,35,1982/3/2,既婚,青森県,090-2328-3700,ドコモ,ぶっかけ・せき止め派
三井 麻由子,みつい まゆこ,mitsui_mayuko@example.com,女,77,1939/11/26,既婚,山口県,080-8442-6035,ドコモ,左ルー・ルー攻め派
